id_habito,fecha,duracion,start_timer,end_timer,duracion_descanso
1,2023-11-21,0:6:11,10:28:41,10:35:50,0:0:0
5,2023-11-21,1:34:15,16:47:54,18:45:01,0:15:0
0,2023-11-21,0:0:7,20:50:26,20:50:37,0:0:0
18,2023-11-21,0:0:3,20:58:17,20:58:21,0:0:0
4,2023-11-21,0:0:4,21:00:39,21:01:12,0:0:0
2,2023-11-21,0:0:1,21:04:02,21:04:06,0:0:0
6,2023-11-21,0:0:1,21:10:30,21:10:33,0:0:0
7,2023-11-21,0:0:4,21:15:56,21:16:22,0:0:0
10,2023-11-21,0:0:2,21:17:15,21:17:18,0:0:0
5,2023-11-24,2:30:7,07:04:38,10:59:48,0:30:0
3,2023-11-24,0:3:42,14:59:13,15:03:40,0:0:0
1,2023-11-24,0:2:22,15:04:18,15:06:40,0:0:0
5,2023-11-25,1:3:52,08:20:58,10:29:06,0:10:0
5,2023-11-26,1:10:23,08:35:45,11:02:52,0:10:0
18,2023-11-26,0:0:5,23:09:02,23:09:08,0:0:0
3,2023-11-27,0:10:0,09:13:06,09:24:13,0:1:0
26,2023-11-27,0:10:0,09:33:33,10:04:41,0:5:0
7,2023-11-27,0:1:0,10:05:05,10:07:11,0:1:0
8,2023-11-27,0:3:0,10:10:59,10:15:58,0:1:0
2,2023-11-27,0:15:0,10:23:05,10:43:20,0:5:0
1,2023-11-27,0:7:53,10:47:42,10:55:38,0:0:0
11,2023-11-27,0:0:4,14:34:15,14:34:20,0:0:0
18,2023-11-27,0:2:0,16:12:44,16:16:52,0:2:0
17,2023-11-27,0:2:2,16:17:39,16:21:48,0:1:0
5,2023-11-27,2:12:30,16:32:05,20:54:01,0:20:7
5,2023-11-28,1:28:24,08:03:34,09:57:35,0:15:0
26,2023-11-28,0:10:0,10:56:53,11:12:04,0:5:0
3,2023-11-28,0:10:0,11:38:53,11:58:11,0:5:0
2,2023-11-28,0:2:54,12:07:42,12:10:36,0:0:0
1,2023-11-28,0:3:3,15:52:57,15:56:04,0:0:0
12,2023-11-28,0:1:0,16:20:29,16:22:48,0:1:0
11,2023-11-28,0:0:2,18:04:07,18:04:09,0:0:0
26,2023-11-30,0:14:56,14:36:51,16:43:01,0:0:0
3,2023-11-30,0:3:31,15:07:04,15:26:44,0:0:0
2,2023-11-30,0:1:42,15:27:18,15:29:00,0:0:0
1,2023-11-30,0:2:53,15:30:10,15:33:07,0:0:0
12,2023-11-30,0:0:2,16:14:58,16:15:01,0:0:0
10,2023-11-30,0:1:0,16:16:18,16:18:57,0:1:0
13,2023-11-30,0:0:4,16:26:22,16:26:27,0:0:0
14,2023-11-30,0:1:0,16:26:54,16:29:05,0:1:0
21,2023-11-30,0:0:39,16:43:30,16:44:09,0:0:0
22,2023-11-30,0:10:0,16:50:41,17:01:24,0:0:41
18,2023-11-30,0:6:0,17:02:10,17:13:29,0:4:55
17,2023-11-30,0:2:0,17:13:55,17:17:07,0:1:0
5,2023-11-30,0:45:21,21:54:56,22:45:29,0:5:0
3,2023-12-01,0:7:41,09:20:04,09:27:45,0:0:0
2,2023-12-01,0:6:9,09:35:29,09:41:38,0:0:0
5,2023-12-01,1:15:2,15:30:27,17:05:31,0:15:0
2,2023-12-02,0:5:45,12:36:10,12:49:57,0:0:0
26,2023-12-02,0:7:48,17:28:50,17:36:41,0:0:0
3,2023-12-02,0:6:6,17:37:07,17:43:14,0:0:0
5,2023-12-03,2:6:6,11:40:38,21:29:23,0:25:0
5,2023-12-04,1:40:0,17:21:16,20:08:26,0:20:0
26,2023-12-05,0:10:0,09:45:35,09:56:00,0:0:23
5,2023-12-05,3:20:0,15:08:04,21:13:16,0:40:0
2,2023-12-05,0:15:0,21:34:08,21:54:21,0:5:0
5,2023-12-06,1:27:31,15:23:31,19:29:43,0:15:0
5,2023-12-07,3:28:40,15:44:36,21:45:57,0:35:0
2,2023-12-07,0:0:57,21:50:41,21:51:38,0:0:0
5,2023-12-08,1:21:37,16:19:45,18:17:01,0:15:0
2,2023-12-10,0:5:45,12:07:30,12:13:18,0:0:0
26,2023-12-10,0:19:2,14:48:20,15:07:32,0:0:0
3,2023-12-10,0:10:0,15:14:36,15:34:10,0:5:0
1,2023-12-10,0:5:38,15:34:15,15:59:22,0:0:0
12,2023-12-10,0:10:0,16:08:11,16:20:08,0:1:0
10,2023-12-10,0:1:0,16:21:08,16:24:52,0:1:0
13,2023-12-10,0:1:0,16:37:51,16:39:21,0:0:29
14,2023-12-10,0:1:0,16:39:26,16:44:00,0:1:0
21,2023-12-10,0:1:0,16:45:11,16:47:29,0:1:0
22,2023-12-10,0:10:0,16:48:19,17:03:33,0:1:0
4,2023-12-10,0:0:2,17:03:40,17:03:42,0:0:0
18,2023-12-10,0:2:0,17:04:18,17:07:55,0:1:36
17,2023-12-10,0:2:0,17:08:01,17:11:25,0:1:0
5,2023-12-10,0:50:5,17:17:01,18:21:13,0:10:0
25,2023-12-11,0:9:37,10:09:02,10:27:32,0:0:0
5,2023-12-11,0:25:3,19:15:00,19:45:07,0:5:0
3,2023-12-11,0:6:13,19:52:44,19:59:29,0:0:0
2,2023-12-11,0:0:3,23:35:30,23:35:33,0:0:0
5,2023-12-12,2:25:34,07:18:25,18:19:46,0:25:0
26,2023-12-12,0:7:31,15:46:28,15:54:00,0:0:0
2,2023-12-12,0:7:1,16:13:32,16:20:33,0:0:0
12,2023-12-12,0:7:48,16:20:47,16:28:36,0:0:0
5,2023-12-13,1:40:0,15:31:40,20:59:19,0:20:0
5,2023-12-14,2:11:43,11:41:29,22:39:58,0:25:0
5,2023-12-15,2:5:0,15:17:58,18:40:03,0:24:43
5,2023-12-17,3:1:52,09:57:09,17:28:44,0:35:0
26,2023-12-18,0:10:0,11:40:26,11:55:41,0:5:0
5,2023-12-18,1:40:0,16:17:42,20:02:35,0:20:0
5,2023-12-19,1:40:0,17:28:36,23:09:15,0:20:0
26,2023-12-22,0:10:0,10:30:37,10:56:21,0:5:0
3,2023-12-22,0:8:24,11:39:51,11:48:16,0:0:0
5,2023-12-22,0:50:0,17:24:43,18:19:51,0:5:3
4,2023-12-23,0:10:0,14:11:02,16:37:02,0:1:0
7,2023-12-26,0:8:0,17:39:39,20:50:57,0:26:0
26,2023-12-26,0,20:37:50,0,0
25,2023-12-27,0:6:50,13:16:45,21:42:35,0:20:17
7,2023-12-28,0:0:16,08:58:03,08:58:20,0:1:0
7,2023-12-29,0:2:9,14:19:28,16:23:48,0:5:16
7,2023-12-29,1,20:00:56,20:00:56,0
27,2023-12-29,1,20:01:06,20:01:06,0
3,2023-12-29,0:0:10,20:01:26,20:01:40,0
7,2023-12-29,0:1:,20:03:49,20:03:49,0
8,2023-12-29,0:1:,20:04:01,20:04:01,0
7,2023-12-29,0:1:0,20:04:49,20:04:49,0
9,2023-12-29,0:1:0,20:05:03,20:05:03,0
7,2023-12-29,0:1:0,20:06:17,20:06:17,0
11,2023-12-29,0:1:0,20:06:28,20:06:28,0
7,2023-12-29,0:1:0,20:07:31,20:07:31,0
27,2023-12-29,0:1:0,20:07:39,20:07:39,0
23,2023-12-29,0:1:0,20:16:01,20:16:01,0
26,2023-12-29,0,20:29:17,0,0
7,2023-12-30,0:1:0,07:44:26,07:44:26,0
7,2023-12-30,0:1:0,07:49:27,07:49:27,0
7,2023-12-30,0:1:0,07:49:28,07:49:28,0
7,2023-12-30,0:1:0,07:49:29,07:49:29,0
7,2023-12-30,0:1:0,07:49:29,07:49:29,0
7,2023-12-30,0:1:0,07:49:29,07:49:29,0
27,2023-12-30,0:1:0,07:52:22,07:52:22,0
21,2023-12-30,0,08:27:24,08:28:24,0:1:0
7,2023-12-31,0:1:0,15:40:56,15:40:56,0
32,2023-12-31,0:1:0,17:00:09,17:00:09,0
26,2024-01-01,0:1:0,23:34:20,23:34:20,0
27,2024-01-02,0:1:0,10:25:06,10:25:06,0
26,2024-01-02,0:1:0,10:25:36,10:25:36,0
26,2024-01-05,0:0:20,10:15:10,10:15:31,0
32,2024-01-10,0:5:0,16:38:34,16:52:30,0:5:0
26,2024-01-10,0:2:2,17:52:41,17:53:41,0
3,2024-01-10,0:0:16,17:59:15,18:05:25,0
2,2024-01-10,0:0:23,18:08:51,18:09:15,0
31,2024-01-10,0:2:24,18:09:50,18:40:01,0:5:7
1,2024-01-10,0:2:23,18:25:10,18:41:17,0:2:12
7,2024-01-11,0:1:0,17:27:04,17:27:04,0
8,2024-01-11,0:1:0,17:35:12,17:35:12,0
9,2024-01-09,0:1:0,17:37:17,17:37:17,0
9,2024-01-10,0:1:0,17:37:17,17:37:17,0
30,2024-01-11,0:1:0,18:01:17,18:01:17,0
27,2024-01-11,0:1:0,18:15:27,18:15:27,0
27,2024-01-10,0:1:0,18:15:27,18:15:07,0
25,2024-01-11,0:1:0,19:56:50,19:56:50,0
24,2024-01-11,0:1:0,20:06:05,20:06:05,0
11,2024-01-10,0:1:0,20:08:35,20:08:35,0
11,2024-01-11,0:1:0,20:50:50,20:50:50,0
9,2024-01-11,0:1:0,21:17:03,21:17:03,0
19,2024-01-11,0:1:0,21:22:32,21:22:32,0
15,2024-01-11,0:1:0,21:23:35,21:23:35,0
26,2024-01-11,0:0:2,21:54:21,21:54:24,0
23,2024-01-11,0:1:0,22:06:06,22:06:06,0
6,2024-01-11,0:1:0,22:06:20,22:06:20,0
16,2024-01-11,0:1:0,22:06:26,22:06:26,0
20,2024-01-11,0:1:0,22:06:31,22:06:31,0
7,2024-01-12,0:1:0,09:09:58,09:09:58,0
9,2024-01-12,0:1:0,10:14:26,10:14:26,0
26,2024-01-12,0:16:0,10:43:58,12:14:58,0:14:0
32,2024-01-12,0:6:0,10:47:29,11:01:14,0:4:0
2,2024-01-12,0:1:0,11:01:32,11:02:58,0:0:25
1,2024-01-12,0:5:4,11:03:12,12:25:00,0:5:0
20,2024-01-12,0:1:0,13:02:59,13:02:59,0
